PartID,Quantity,Category,PartName
4569080,4,Bricks,Brick 1X1
300424,2,Bricks,Brick 1X2
301021,2,Bricks,Brick 1X4
301024,2,Bricks,Brick 1X4
300924,2,Bricks,Brick 1X6
300321,2,Bricks,Brick 2X2
300324,2,Bricks,Brick 2X2
300121,2,Bricks,Brick 2X4
300124,2,Bricks,Brick 2X4
4181138,2,Bricks,Brick 2X6
4181143,2,Bricks,Brick 2X6
4217133,1,Bricks,Brick 8X16
370321,4,Bricks And Beams Special,Brick 1X16
4210935,4,Bricks And Beams Special,Brick 1X2 W/Cross Hole
370021,6,Bricks And Beams Special,Brick 1X2 W/Hole
4211087,4,Bricks And Beams Special,Brick 1X2 W/Horizontal Snap
389421,4,Bricks And Beams Special,Brick 1X6
370221,4,Bricks And Beams Special,Brick 1X8 W/Hole
4220284,2,Bricks Special,Brick 1X2 W/Stub Vertical End
4173322,2,Bricks Special,Brick 1X2/Fric./Fork Vert./End
4527943,4,Bricks Special Circles And Angles,Brick 16 W/Cross
4160390,2,Bricks With Bows,Brick 1X6 W/Bow
4160392,2,Bricks With Bows,Brick 1X6 W/Bow
366521,2,Bricks With Slope,Roof Tile 1X2 Inv.
4121934,2,Bricks With Slope,Roof Tile 1X2/45 Deg
428624,2,Bricks With Slope,Roof Tile 1X3/25 Deg
428724,2,Bricks With Slope,Roof Tile 1X3/25 Deg Inv.
303921,2,Bricks With Slope,Roof Tile 2X2/45 Deg
366021,2,Bricks With Slope,Roof Tile 2X2/45 Deg
303924,2,Bricks With Slope,Roof Tile 2X2/45 Deg
366024,2,Bricks With Slope,Roof Tile 2X2/45 Deg Inv.
329824,2,Bricks With Slope,Roof Tile 2X3/25 Deg
374724,2,Bricks With Slope,Roof Tile 2X3/25 Deg Inv.
4211622,12,Connectors,Bushing
4121715,12,Connectors,Connector Peg Fric.
4666579,4,Connectors,Connector Peg W/Cross Axle
4211815,4,Connectors,Cross Axle 3M
370626,4,Connectors,Cross Axle 6M
370726,4,Connectors,Cross Axle 8M
4506083,1,Electric Parts,Motor 24X6M
6031455,1,Figure Head Clothing,Mini Fig. Wig Manga 2
4567911,1,Figure Head Clothing,Mini U.S. Cap
368021,1,Functional Elements,Turn Plate 2X2 Lower Part
4540203,1,Functional Elements,Turn Plate 2X2 Upper Part
4211434,4,Functional Elements Gear Wheels And Racks,Crown And Gear Wheel Z24
6012451,4,Functional Elements Gear Wheels And Racks,Gear Wheel T8 M1
4514558,4,Functional Elements Gear Wheels And Racks,Gear Wheel Z24
4250465,2,Functional Elements Gear Wheels And Racks,Toothed Bar M1 Z10
4211510,1,Functional Elements Gear Wheels And Racks,Worm
4142824,1,Functional Elements Gear Wheels And Racks,Worm Gear Block
4210759,4,Half Beams,Comb Wheel
4221886,1,Mini Figure,Mini Lower Part
4275606,1,Mini Figure,Mini Upper Part
4506812,1,Mini Figure Head,Mini Head
4506830,1,Mini Figure Head,Mini Head
4164021,4,Plates,Flat Tile 1X4
371001,6,Plates,Plate 1X4
346001,6,Plates,Plate 1X8
302028,6,Plates,Plate 2X4
4207715,4,Plates Special,Beam 1X2 T W/ Plate/Tube
4527947,6,Plates Special,Plate 2X6 W/Holes
4527945,6,Plates Special,Plate 2X8 W/Holes
4278275,2,Plates Special Circles And Angles,Slide Shoe Round 2X2
4544151,4,Rubbers And Strings,Belt Yellow
6074034,1,Rubbers And Strings,String 40 M W. 2 Knobs
4494219,4,Tires And Rims,Wheel Wedge-Belt Rim
6028041,4,Tires And Rims,Wheel Wedge-Belt Tire
